iter	MultiClass
0	1.935144663
1	1.671367947
2	1.567368082
3	1.553197566
4	1.485085965
5	1.391822518
6	1.357254843
7	1.292060111
8	1.270450204
9	1.250456964
10	1.249935854
11	1.226591089
12	1.215796425
13	1.20492429
14	1.194804636
15	1.193242635
16	1.167052107
17	1.149135702
18	1.143908066
19	1.129579528
20	1.1196783
21	1.11063888
22	1.083535602
23	1.080809341
24	1.077493776
25	1.06308799
26	1.056148037
27	1.042377717
28	1.037647455
29	1.034888494
30	1.016090528
31	1.003629555
32	0.9986841415
33	0.9937287884
34	0.9908418612
35	0.979290994
36	0.9773953681
37	0.9761065782
38	0.970751412
39	0.9677154698
40	0.9661112224
41	0.9568487781
42	0.9523133555
43	0.9518689591
44	0.9464164516
45	0.939419726
46	0.9385958256
47	0.9371601332
48	0.9363124437
49	0.9275929361
50	0.9271882728
51	0.9231567623
52	0.9212326506
53	0.9188385782
54	0.9181141904
55	0.917408101
56	0.911777545
57	0.9099478888
58	0.9097004821
59	0.9064468525
60	0.9035082492
61	0.9027684327
62	0.8969435892
63	0.8932234448
64	0.887876999
65	0.8866985044
66	0.88501261
67	0.8842021377
68	0.8806646454
69	0.8799448657
70	0.8798774682
71	0.8797673169
72	0.8796878826
73	0.8752907135
74	0.8737832291
75	0.8734196212
76	0.8705590728
77	0.8672600362
78	0.8670348367
79	0.8644112501
80	0.8599755932
81	0.8586171118
82	0.8508385225
83	0.8457558734
84	0.8432335146
85	0.8379872692
86	0.8358435953
87	0.8331624271
88	0.8330854193
89	0.8327612329
90	0.8318215079
91	0.8314070584
92	0.8291681033
93	0.8282795625
94	0.8279425347
95	0.8261920105
96	0.8245110355
97	0.8244682078
98	0.8221470343
99	0.8209109543
