iter	Passed	Remaining
0	519	51468
1	835	40938
2	1178	38109
3	1298	31169
4	1646	31277
5	1991	31201
6	2323	30862
7	2663	30624
8	2981	30144
9	3375	30376
10	3572	28905
11	3953	28992
12	4329	28975
13	4657	28609
14	5047	28600
15	5363	28160
16	5719	27925
17	6084	27718
18	6510	27753
19	6887	27551
20	7205	27107
21	7537	26725
22	7829	26213
23	8127	25738
24	8431	25294
25	8723	24828
26	9073	24532
27	9678	24888
28	10295	25207
29	10900	25434
30	11481	25555
31	12110	25733
32	12593	25567
33	13092	25414
34	13723	25486
35	14351	25513
36	14957	25467
37	15573	25409
38	16187	25318
39	16828	25243
40	17465	25133
41	18094	24987
42	18712	24804
43	19328	24599
44	19952	24386
45	20562	24138
46	21202	23909
47	21758	23572
48	22313	23224
49	22850	22850
50	23399	22481
51	23935	22094
52	24510	21735
53	25063	21350
54	25648	20984
55	26254	20628
56	26846	20252
57	27453	19880
58	28056	19497
59	28616	19077
60	29155	18640
61	29712	18211
62	30253	17767
63	30771	17309
64	31303	16855
65	31869	16417
66	32444	15980
67	33144	15597
68	33777	15175
69	34421	14752
70	35092	14333
71	35723	13892
72	36310	13429
73	36845	12945
74	37412	12470
75	37988	11996
76	38565	11519
77	39177	11050
78	39786	10576
79	40362	10090
80	40941	9603
81	41545	9119
82	42079	8618
83	42623	8118
84	43178	7619
85	43700	7113
86	44187	6602
87	44696	6095
88	45325	5601
89	45922	5102
90	46522	4601
91	47137	4098
92	47725	3592
93	48311	3083
94	48895	2573
95	49440	2060
96	49959	1545
97	50552	1031
98	51101	516
99	51669	0
